id,gene_symbol,logFC,AveExpr,t,P_Value,adj_P_Val,B
433,WNT5A,1.450028665,3.518511118,3.1800305030000002,0.0032616109999999998,0.063324151,-1.8678129330000002
438,AATK,1.011720091,3.484768222,3.175265796,0.003302467,0.06356394,-1.875890244
455,FBLN5,1.124613876,1.039853318,3.1520997060000004,0.00350816,0.065038668,-1.789326846
472,TLR5,1.0254221940000001,2.078796639,3.1237023269999997,0.003776968,0.06692155400000001,-1.878407762
488,RFX8,1.484980225,0.612683865,3.098039128,0.004036651,0.068328975,-1.9099480640000002
507,CD93,1.502882001,6.632811755,3.0809850969999997,0.004218508,0.069290317,-2.19963756
513,TNFRSF11A,1.259491265,4.552142778,3.069748655,0.004342551,0.070207018,-2.209946403
516,TREM1,1.337997853,4.078126177,3.066394942,0.00438024,0.070421158,-2.184067631
524,FAM110B,1.135155828,0.078551385,3.0559801810000002,0.004499268,0.07118537700000001,-2.014447385
561,PTX3,1.8949564280000002,4.862958558,3.018379003,0.0049550290000000006,0.07281383599999999,-2.346034597
562,PDE2A,1.211623707,1.017361961,3.01775192,0.004962988,0.07281383599999999,-2.07553003
645,MYO1B,1.21136039,5.367671317,2.94552563,0.005965165,0.076312794,-2.5296745819999997
646,AKR1C2,1.786628561,0.253877223,2.9441716060000003,0.005985661999999999,0.076435565,-2.232737586
662,COLEC12,1.34557968,4.31213686,2.931980278,0.006173227,0.07759627200000001,-2.512726538
677,FCER1A,1.617946336,0.865905516,2.921260135,0.006342721,0.078330304,-2.275090541
682,TRIM72,1.364708325,1.9694405080000001,2.91574593,0.0064316040000000005,0.078877295,-2.3292341569999997
696,TFAP2C,1.243156127,0.295749852,2.902577145,0.006648638,0.079546208,-2.314816688
735,SV2B,1.1123812659999999,0.6892097759999999,2.864013374,0.007324516999999999,0.082471324,-2.390225348
737,MMP1,2.335359174,0.6876867259999999,2.862841888,0.007346025999999999,0.082553721,-2.392577349
742,MTHFD2P1,1.2991932240000001,0.601236132,2.858949725,0.007417913000000001,0.082783198,-2.3999626469999997
762,PTPN14,1.0130081359999998,1.206307851,2.842902035,0.007721344000000001,0.084262095,-2.443968465
769,RPL9P7,1.7479298490000001,-1.191166234,2.8360023130000003,0.007855352,0.084872882,-2.510100339
776,ANTXR1,1.361603481,1.5952909819999999,2.830796658,0.007957898,0.085138843,-2.486575793
789,CLDN1,1.259657238,0.674893277,2.8197503339999996,0.008179668000000001,0.08604144300000001,-2.478975829
795,RP11-903H12.5,2.347496163,-0.024749191,2.8138548130000003,0.008300387,0.08670978900000001,-2.494312683
799,STEAP1,1.116762802,1.002509831,2.810990165,0.008359644,0.08694633800000001,-2.5028831940000003
820,MTCO1P12,1.2184516140000001,3.833208071,2.78872218,0.008833967,0.088743976,-2.7924851389999996
824,MAMLD1,1.068490658,2.988396256,2.787096563,0.008869561,0.08876418800000001,-2.703665075
828,ZNF259P1,1.4078761999999998,-0.593822463,2.784657947,0.008923209,0.088839902,-2.5678921569999997
841,PPM1N,1.2195689109999999,3.6909382610000003,2.774997561,0.009138726,0.089321863,-2.808156823
843,GRIP1,1.3851346469999999,-1.065140765,2.774455253,0.009150968,0.08936928400000001,-2.611096762
854,CLC,1.512063124,1.987500253,2.762929534,0.009414791,0.090630259,-2.655343939
860,IL36G,1.345942306,-1.028583762,2.7600665980000003,0.009481416,0.090630259,-2.634498084
875,TNC,1.162634472,6.653046483,2.745396776,0.009829766,0.091495539,-2.964724139
13736,H3F3AP4,-3.08273772,2.712563485,-2.7447478139999997,0.009845449000000001,0.091495539,-2.764004248
13740,RP11-651P23.4,-1.478727961,-0.27274952,-2.7458632769999998,0.009818506999999999,0.091495539,-2.628763579
13755,4-Sep,-1.2880485240000001,0.7723741820000001,-2.7580882439999996,0.009527713,0.090721864,-2.603368801
